id,uuid,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,field:quantity,field:quantity observed
51629963,b0706c76-5f2f-405d-9d11-405c0742e810,2020-06-30 7:05:18 PM EDT,2020-06-30,2020-06-30 23:05:18 UTC,Eastern Time (US & Canada),3204003,katz6289,,2020-07-01 21:47:13 UTC,2023-08-17 09:50:18 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/51629963,https://inaturalist-open-data.s3.amazonaws.com/photos/82043085/medium.jpeg,,"",,2,0,false,2,Godena Farm,41.5430415439,-71.3748478889,263,,,,263,,open,false,gps,gps,Japanese Chestnut,Castanea crenata,Japanese Chestnut,Plantae,122786,,
57026861,dd0d8aae-b1ed-461b-8274-bb170846b88d,2020-08-02 4:06:50 PM EDT,2020-08-02,2020-08-02 20:06:50 UTC,Eastern Time (US & Canada),3488909,aaronjacobs,Aaron Jacobs,2020-08-20 14:47:24 UTC,2023-07-06 04:16:00 UTC,research,,https://www.inaturalist.org/observations/57026861,https://static.inaturalist.org/photos/90930033/medium.jpeg,,"",,1,0,false,2,Sunken Meadow State Park,40.9115950605,-73.2578766346,263,,,,263,,open,false,gps,gps,Japanese Chestnut,Castanea crenata,Japanese Chestnut,Plantae,122786,,
85347143,c80dd8c8-d439-4b27-a992-27b22ebf3f93,Fri Jul 02 2021 11:28:00 GMT-0400 (EDT),2021-07-02,2021-07-02 15:28:00 UTC,Eastern Time (US & Canada),3347736,tylerlindemann,Tyler Lindemann,2021-07-02 15:47:19 UTC,2025-04-03 06:22:00 UTC,research,,https://www.inaturalist.org/observations/85347143,https://static.inaturalist.org/photos/140409582/medium.jpg,,"","",1,0,false,3,"Block Island, RI, US",41.1684320591,-71.5887439246,65,,,,65,,open,false,,,Japanese Chestnut,Castanea crenata,Japanese Chestnut,Plantae,122786,,
136056600,9a3dcd27-9f2e-41c7-b825-077d1539353b,2022-09-21 12:23:00-04:00,2022-09-21,2022-09-21 16:23:00 UTC,Eastern Time (US & Canada),4747384,alblueheron,Albert Burchsted,2022-09-22 17:05:30 UTC,2024-11-16 00:26:18 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/136056600,https://inaturalist-open-data.s3.amazonaws.com/photos/232135805/medium.jpeg,,"","",1,0,false,,"Old Lyme, CT, USA",41.3270102559,-72.3265506238,4,,,,4,,open,false,,,Japanese Chestnut,Castanea crenata,Japanese Chestnut,Plantae,122786,,
164621081,f1b0662e-cdc9-4e4f-9241-c98ef1992958,2023-05-29 15:07:56,2023-05-29,2023-05-29 19:07:56 UTC,Eastern Time (US & Canada),1973288,canned_salmon,Samuel Cannon,2023-05-30 12:59:09 UTC,2023-06-02 13:00:14 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/164621081,https://inaturalist-open-data.s3.amazonaws.com/photos/284855874/medium.jpeg,,"",,1,0,false,2,"Mason Farm Road at Oteys Road, Chapel Hill, NC 27514, USA",35.8972944444,-79.0458,,,,,,,open,false,gps,gps,Japanese Chestnut,Castanea crenata,Japanese Chestnut,Plantae,122786,,
227813048,503466f1-a19e-4892-90b6-7d996f5975be,2024/06/26 6:04 PM,2024-06-26,2024-06-26 22:04:00 UTC,Eastern Time (US & Canada),5460953,botanicum-vitae,,2024-07-07 17:13:25 UTC,2024-07-08 11:29:24 UTC,research,,https://www.inaturalist.org/observations/227813048,https://static.inaturalist.org/photos/404180051/medium.jpeg,,"","Shiny, narrow leaves with bristle-teeth and hairy undersides.

Micrographs of the undersurfaces, included here, confirm the presence of  simple and stellate hairs as well as large multicellular trichomes. 

The trichomes are more than twice the diameter of the trichomes of C. dentata measured in a separate observation.

Pix of the staminate and pistillate flowers are included.",1,0,false,,"Connecticut, US",41.9467686944,-72.1396213926,7,,,,27723,obscured,open,true,,,Japanese Chestnut,Castanea crenata,Japanese Chestnut,Plantae,122786,,
