,id,uuid,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,field:quantity,field:quantity observed
36452,65381838,de0bba55-8299-400c-bbce-1977dfaa483b,Tue Nov 17 2015 15:06:00 GMT-0500 (EST),2015-11-17,2015-11-17 20:06:00 UTC,Eastern Time (US & Canada),3797478,aylos,Michael Demetriou,2020-11-22 03:57:41 UTC,2024-03-13 01:41:01 UTC,research,,https://www.inaturalist.org/observations/65381838,https://static.inaturalist.org/photos/105223600/medium.jpg,,,,4,0,False,3.0,"University of Michigan, Ann Arbor, MI, US",42.2792699873,-83.7423318253,800.0,,,,800.0,,open,False,,,Fox Squirrel,Sciurus niger,Eastern Fox Squirrel,Mammalia,46020,,
36453,65381993,5fa5c1d2-e529-4805-afe2-ad1f72bfb790,2020/11/17 12:13 PM UTC,2020-11-17,2020-11-17 12:13:00 UTC,UTC,2613046,sarahtaubman,,2020-11-22 04:01:34 UTC,2024-05-01 17:27:32 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/65381993,https://inaturalist-open-data.s3.amazonaws.com/photos/105223897/medium.jpg,,,,2,0,False,,"Los Angeles County, US-CA, US",33.8957010415,-118.3212098719,,,,,28902.0,obscured,open,True,,,Fox Squirrel,Sciurus niger,Eastern Fox Squirrel,Mammalia,46020,,
36454,65382688,0b94d574-8594-4b50-b2fe-8f5022308d2f,Sat Nov 21 2020 17:29:14 GMT-0600 (CST),2020-11-21,2020-11-21 17:29:14 UTC,UTC,3806810,aantw7418,,2020-11-22 04:17:02 UTC,2020-11-22 23:34:56 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/65382688,https://inaturalist-open-data.s3.amazonaws.com/photos/105225698/medium.jpg,,,,2,0,False,3.0,"Schreiner University, Kerrville, TX, US",30.0300055,-99.1297611667,10.0,,,,10.0,,open,False,,,Fox Squirrel,Sciurus niger,Eastern Fox Squirrel,Mammalia,46020,,
36455,65384507,08ea8498-f92a-4f22-a1c6-f56d0763fccc,Sat Nov 21 2020 06:32:28 GMT-0800 (PST),2020-11-21,2020-11-21 06:32:28 UTC,UTC,2538950,erikiglesias,,2020-11-22 04:55:35 UTC,2024-05-01 17:27:29 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/65384507,https://inaturalist-open-data.s3.amazonaws.com/photos/105228887/medium.jpg,,,,2,0,False,3.0,"Sapphire St, Redondo Beach, CA, US",33.8296866667,-118.3825083333,65.0,,,,65.0,,open,False,,,Fox Squirrel,Sciurus niger,Eastern Fox Squirrel,Mammalia,46020,,
36456,65401529,b93bbe88-b004-4b71-a769-0368c3e4c3a8,2020/11/21 1:55 PM CST,2020-11-21,2020-11-21 19:55:00 UTC,Central Time (US & Canada),2453263,kevindalesmith,,2020-11-22 13:24:27 UTC,2024-04-04 00:12:03 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/65401529,https://inaturalist-open-data.s3.amazonaws.com/photos/105259455/medium.jpg,,,,2,0,False,,"Shellhorn Dr., Houston County, MN, USA",43.6563404598,-91.2945920222,110.0,,,,110.0,,open,False,,,Fox Squirrel,Sciurus niger,Eastern Fox Squirrel,Mammalia,46020,,
36457,65402283,8d509887-6165-4f76-879c-6c6533913d93,2020-11-22 7:31:56 AM CST,2020-11-22,2020-11-22 07:31:56 UTC,UTC,1410102,dylanwoods,Dylan Woods,2020-11-22 13:37:00 UTC,2021-01-17 17:59:40 UTC,research,,https://www.inaturalist.org/observations/65402283,https://static.inaturalist.org/photos/105260737/medium.jpeg,,,,2,0,False,2.0,"Liberty Hill, TX 78642, USA",30.6703906997,-97.8631364997,,,,,,,open,False,gps,gps,Fox Squirrel,Sciurus niger,Eastern Fox Squirrel,Mammalia,46020,,
36458,65406567,bab0f82c-5d03-4633-9e42-75770c66b71b,Sun Nov 22 2020 08:59:41 GMT-0600 (CST),2020-11-22,2020-11-22 14:59:41 UTC,Central Time (US & Canada),509191,madupree,Mike,2020-11-22 14:59:46 UTC,2021-01-17 17:59:33 UTC,research,,https://www.inaturalist.org/observations/65406567,https://static.inaturalist.org/photos/105281786/medium.jpg,,,,2,0,False,3.0,"Bentsen-Rio Grande Valley State Park, Mission, TX, US",26.1838211724,-98.3804974427,4.0,,,,4.0,,open,False,,,Fox Squirrel,Sciurus niger,Eastern Fox Squirrel,Mammalia,46020,,
36459,65408582,318ead71-7a96-437e-8ac3-c168f5435d82,2020-11-21 9:10:00 AM CST,2020-11-21,2020-11-21 09:10:00 UTC,UTC,3489284,quincy2c,"Karen M. Powell, M.D. (aka Karen Powell Schroer)",2020-11-22 15:32:32 UTC,2021-01-17 17:59:31 UTC,research,,https://www.inaturalist.org/observations/65408582,https://static.inaturalist.org/photos/105272166/medium.jpeg,,,Sunflower seeds seem to make this fox squirrel happy. ,2,0,False,2.0,76179,32.8601004319,-97.364137955,14987.0,,,,14987.0,,open,False,gps,gps,Fox Squirrel,Sciurus niger,Eastern Fox Squirrel,Mammalia,46020,,
36460,65417766,2bfea90f-2f5d-4cba-af76-d8fa632c59dc,Sat Nov 21 2020 05:40:52 GMT-0800 (PST),2020-11-21,2020-11-21 05:40:52 UTC,UTC,3820326,mriggs_01_,,2020-11-22 17:47:42 UTC,2024-05-01 17:27:29 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/65417766,https://inaturalist-open-data.s3.amazonaws.com/photos/105287827/medium.jpg,,,I am not sure exactly what type of squirrel this is- it has a thick bushy tail and is a yellowish brown color. I also noticed that the tail has a lighter auburn color underneath than on top.,3,0,False,3.0,"Gold Hill Rd, Fairfield, CA, US",38.1745,-122.1396333333,5.0,,,,5.0,,open,False,,,Fox Squirrel,Sciurus niger,Eastern Fox Squirrel,Mammalia,46020,,
36461,65418667,4b9e6c09-4bee-4d18-919a-30001195c9fc,2020-11-22 10:00:53 AM PST,2020-11-22,2020-11-22 10:00:53 UTC,UTC,3857978,cody_johnson,Cody Johnson,2020-11-22 18:02:02 UTC,2024-05-01 17:27:29 UTC,research,,https://www.inaturalist.org/observations/65418667,https://static.inaturalist.org/photos/105289426/medium.jpeg,,,,3,0,False,2.0,"SANTA ROSA VA, CA 93012, USA",34.16504884,-119.03619975,16.0,,,,16.0,,open,False,,,Fox Squirrel,Sciurus niger,Eastern Fox Squirrel,Mammalia,46020,,
36462,65419623,54629629-4c8a-4054-bb5a-45547389615b,Sun Nov 22 2020 12:09:23 GMT-0600 (CST),2020-11-22,2020-11-22 18:09:23 UTC,Central Time (US & Canada),3685576,j_pav,,2020-11-22 18:18:10 UTC,2020-11-22 23:25:19 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/65419623,https://inaturalist-open-data.s3.amazonaws.com/photos/105291014/medium.jpg,,,,1,0,False,3.0,"Hamilton Wolfe Rd, San Antonio, TX, US",29.5248629628,-98.5887410366,24.0,,,,24.0,,open,False,,,Fox Squirrel,Sciurus niger,Eastern Fox Squirrel,Mammalia,46020,,
36463,65420900,161679ff-d936-4197-a7a7-8801e4021394,2020/11/22 10:30 AM CST,2020-11-22,2020-11-22 16:30:00 UTC,Central Time (US & Canada),962273,banditoeagle,,2020-11-22 18:40:33 UTC,2021-01-10 05:35:50 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/65420900,https://inaturalist-open-data.s3.amazonaws.com/photos/105290095/medium.jpeg,,"austin, texas, autumn, fall, november, squirrel, mammal",,2,0,False,,"Austin, TX 78759, USA",30.4091255,-97.7327818,216.0,,,,216.0,,open,False,,,Fox Squirrel,Sciurus niger,Eastern Fox Squirrel,Mammalia,46020,,
36464,65421234,d9bcdee6-023c-4624-b6fa-eb488580e6d0,2020/11/22 9:56 AM CST,2020-11-22,2020-11-22 15:56:00 UTC,Central Time (US & Canada),3857765,michaelsteff,,2020-11-22 18:45:28 UTC,2021-01-10 05:36:29 UTC,research,,https://www.inaturalist.org/observations/65421234,https://static.inaturalist.org/photos/105293746/medium.png,,,,3,0,False,,"Hardrock Canyon, Austin, TX 78759, USA",30.4002577698,-97.7498355135,1953.0,,,,1953.0,,open,False,,,Fox Squirrel,Sciurus niger,Eastern Fox Squirrel,Mammalia,46020,,
36465,65421411,2814df20-e485-48e2-8e1a-13fd5eb703dd,Sun Nov 22 2020 10:44:39 GMT-0800 (PST),2020-11-22,2020-11-22 18:44:39 UTC,Pacific Time (US & Canada),3824147,dcaferro,,2020-11-22 18:48:47 UTC,2024-05-01 17:27:30 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/65421411,https://inaturalist-open-data.s3.amazonaws.com/photos/105294185/medium.jpg,,,,3,0,False,3.0,"Lago Seco Park, Torrance, CA, US",33.809604398,-118.356315769,58.0,,,,58.0,,open,False,,,Fox Squirrel,Sciurus niger,Eastern Fox Squirrel,Mammalia,46020,,
36466,65423972,79234e0b-740a-4556-9019-34cf5ff30ea7,2020/11/22 10:23 AM PST,2020-11-22,2020-11-22 18:23:00 UTC,Pacific Time (US & Canada),2465530,kathleenlryan,Kathleen L. Ryan,2020-11-22 19:32:11 UTC,2024-05-01 17:27:30 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/65423972,https://inaturalist-open-data.s3.amazonaws.com/photos/105299085/medium.jpg,,,,2,0,False,,"Carmel-By-The-Sea, CA 93923, USA",36.5552386,-121.9232879,1378.0,,,,1378.0,,open,False,,,Fox Squirrel,Sciurus niger,Eastern Fox Squirrel,Mammalia,46020,,
36467,65425217,4da1db86-4d6f-4631-8920-365bf8332d68,2020/11/22 11:23 AM CST,2020-11-22,2020-11-22 17:23:00 UTC,Central Time (US & Canada),63310,jblinde,Jennifer Linde,2020-11-22 19:50:18 UTC,2021-01-10 05:35:28 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/65425217,https://inaturalist-open-data.s3.amazonaws.com/photos/105300969/medium.jpeg,,,,2,0,False,,"Lewisville, TX, USA",33.0647773588,-96.9770801815,15.0,,,,15.0,,open,False,,,Fox Squirrel,Sciurus niger,Eastern Fox Squirrel,Mammalia,46020,,
